month,revenue,prev_month_revenue,mom_growth_pct
2023-01,8420477.73,,
2023-02,8656260.06,8420477.73,2.8
2023-03,9798520.93,8656260.06,13.2
2023-04,6761333.15,9798520.93,-31.0
2023-05,9908617.55,6761333.15,46.55
2023-06,11685191.45,9908617.55,17.93
2023-07,9319288.22,11685191.45,-20.25
2023-08,9034701.51,9319288.22,-3.05
2023-09,7160604.26,9034701.51,-20.74
2023-10,9875071.56,7160604.26,37.91
2023-11,7829147.79,9875071.56,-20.72
2023-12,8364271.53,7829147.79,6.84
2024-01,9620262.06,8364271.53,15.02
2024-02,7857937.94,9620262.06,-18.32
2024-03,7678201.35,7857937.94,-2.29
2024-04,8735441.48,7678201.35,13.77
2024-05,8872517.35,8735441.48,1.57
2024-06,10389643.41,8872517.35,17.1
2024-07,8382558.09,10389643.41,-19.32
2024-08,9261148.2,8382558.09,10.48
2024-09,9240346.64,9261148.2,-0.22
2024-10,8859452.55,9240346.64,-4.12
2024-11,6764911.48,8859452.55,-23.64
2024-12,400535.91,6764911.48,-94.08
