cohort_month,month_number,active_customers,cohort_size,retention_pct
2022-08,5,5,19,26.3
2022-08,6,2,19,10.5
2022-09,4,3,14,21.4
2022-09,5,5,14,35.7
2022-09,6,3,14,21.4
2022-10,3,2,13,15.4
2022-10,4,3,13,23.1
2022-10,5,2,13,15.4
2022-10,6,4,13,30.8
2022-11,2,3,17,17.6
2022-11,3,2,17,11.8
2022-11,4,3,17,17.6
2022-11,5,1,17,5.9
2022-11,6,5,17,29.4
2022-12,1,4,20,20.0
2022-12,2,3,20,15.0
2022-12,3,2,20,10.0
2022-12,4,3,20,15.0
2022-12,5,6,20,30.0
2022-12,6,4,20,20.0
2023-01,0,5,22,22.7
2023-01,1,4,22,18.2
2023-01,2,2,22,9.1
2023-01,3,3,22,13.6
2023-01,4,4,22,18.2
2023-01,5,1,22,4.5
2023-01,6,4,22,18.2
2023-02,0,4,15,26.7
2023-02,1,3,15,20.0
2023-02,2,2,15,13.3
2023-02,3,5,15,33.3
2023-02,4,1,15,6.7
2023-02,5,5,15,33.3
2023-02,6,4,15,26.7
2023-03,0,5,21,23.8
2023-03,1,5,21,23.8
2023-03,2,4,21,19.0
2023-03,3,2,21,9.5
2023-03,4,6,21,28.6
2023-03,5,5,21,23.8
2023-03,6,5,21,23.8
2023-04,0,5,20,25.0
2023-04,1,3,20,15.0
2023-04,2,8,20,40.0
2023-04,3,3,20,15.0
2023-04,4,6,20,30.0
2023-04,5,1,20,5.0
2023-04,6,5,20,25.0
2023-05,0,1,13,7.7
2023-05,1,7,13,53.8
2023-05,2,3,13,23.1
2023-05,3,1,13,7.7
2023-05,4,1,13,7.7
2023-05,5,4,13,30.8
2023-05,6,2,13,15.4
2023-06,0,3,16,18.8
2023-06,1,3,16,18.8
2023-06,2,2,16,12.5
2023-06,3,3,16,18.8
2023-06,4,7,16,43.8
2023-06,5,4,16,25.0
2023-06,6,2,16,12.5
2023-07,0,5,20,25.0
2023-07,1,6,20,30.0
2023-07,2,3,20,15.0
2023-07,3,5,20,25.0
2023-07,4,6,20,30.0
2023-07,5,1,20,5.0
2023-07,6,6,20,30.0
2023-08,0,3,15,20.0
2023-08,1,1,15,6.7
2023-08,2,3,15,20.0
2023-08,4,4,15,26.7
2023-08,5,3,15,20.0
2023-08,6,1,15,6.7
2023-09,0,4,24,16.7
2023-09,1,10,24,41.7
2023-09,2,2,24,8.3
2023-09,3,5,24,20.8
2023-09,4,7,24,29.2
2023-09,5,10,24,41.7
2023-09,6,3,24,12.5
2023-10,0,2,18,11.1
2023-10,1,1,18,5.6
2023-10,2,3,18,16.7
2023-10,3,4,18,22.2
2023-10,4,4,18,22.2
2023-10,5,6,18,33.3
2023-10,6,3,18,16.7
2023-11,0,5,20,25.0
2023-11,1,3,20,15.0
2023-11,2,4,20,20.0
2023-11,3,4,20,20.0
2023-11,4,2,20,10.0
2023-11,5,5,20,25.0
2023-11,6,9,20,45.0
2023-12,0,2,14,14.3
2023-12,1,5,14,35.7
2023-12,2,2,14,14.3
2023-12,3,3,14,21.4
2023-12,4,1,14,7.1
2023-12,5,3,14,21.4
2023-12,6,5,14,35.7
2024-01,0,2,14,14.3
2024-01,1,2,14,14.3
2024-01,2,3,14,21.4
2024-01,3,2,14,14.3
2024-01,4,4,14,28.6
2024-01,5,2,14,14.3
2024-01,6,2,14,14.3
2024-02,0,4,22,18.2
2024-02,1,1,22,4.5
2024-02,2,3,22,13.6
2024-02,3,1,22,4.5
2024-02,4,2,22,9.1
2024-02,5,6,22,27.3
2024-02,6,5,22,22.7
2024-03,0,3,23,13.0
2024-03,1,2,23,8.7
2024-03,2,4,23,17.4
2024-03,3,3,23,13.0
2024-03,4,4,23,17.4
2024-03,5,4,23,17.4
2024-03,6,4,23,17.4
2024-04,0,4,21,19.0
2024-04,1,3,21,14.3
2024-04,2,7,21,33.3
2024-04,3,8,21,38.1
2024-04,4,4,21,19.0
2024-04,5,5,21,23.8
2024-04,6,2,21,9.5
2024-05,0,1,15,6.7
2024-05,1,2,15,13.3
2024-05,2,4,15,26.7
2024-05,3,4,15,26.7
2024-05,4,4,15,26.7
2024-05,5,5,15,33.3
2024-05,6,6,15,40.0
2024-06,0,7,13,53.8
2024-06,2,1,13,7.7
2024-06,3,2,13,15.4
2024-06,4,3,13,23.1
2024-06,6,1,13,7.7
