category,revenue,running_total,running_pct_of_total
Beauty,31102958.18,31102958.18,15.4
groceries,20351251.74,51454209.92,25.6
apparel,19361581.32,70815791.24,35.2
Home&Kitchen,18684476.44,89500267.68,44.5
Clothing,15898884.93,105399152.61,52.4
home and kitchen,13433439.01,118832591.62,59.0
Home & Kitchen,13012870.76,131845462.38,65.5
beauty,11694946.92,143540409.3,71.3
ELECTRONICS,11541887.8,155082297.1,77.0
electronics,10064845.89,165147142.99,82.0
Electronics,8658299.42,173805442.41,86.3
Electronic,7761362.13,181566804.54,90.2
Apparel,7336244.54,188903049.08,93.8
Grocery ,7178204.07,196081253.15,97.4
Grocery,5242563.07,201323816.22,100.0
